"NO_MUNICIPIO","IN_SALA_DIRETORIA_1","IN_INTERNET_1","IN_REDES_SOCIAIS_1","IN_NOTURNO_1","IN_EJA_1","IN_SECRETARIA_1","IN_EQUIP_LOUSA_DIGITAL_1","IN_SALA_PROFESSOR_1","IN_AREA_VERDE_1","IN_REFEITORIO_1","IN_ORGAO_ASS_PAIS_1","IN_ORGAO_ASS_PAIS_MESTRES_1","IN_ORGAO_CONSELHO_ESCOLAR_1","IN_ORGAO_GREMIO_ESTUDANTIL_1","IN_BIBLIOTECA_1","IN_QUADRA_ESPORTES_1","ANO_LETIVO_1","Alunos_Turma_1","COMUNIDADE_1","ACESSIBILIDADE_1","Material_Ped_1","Equipamento_Inform_1","Lab_Inform_1","Atividades_complementares_1","Espacos_1","IN_BANHEIRO_CHUVEIRO_1","Equip_1","QT_SALAS_UTILIZADAS_1","QT_EQUIP_DVD_1","QT_EQUIP_SOM_1","QT_EQUIP_TV_1","QT_EQUIP_LOUSA_DIGITAL_1","QT_EQUIP_MULTIMIDIA_1","QT_DESKTOP_ALUNO_1","QT_COMP_PORTATIL_ALUNO_1","QT_PROF_ADMINISTRATIVOS_1","QT_PROF_SERVICOS_GERAIS_1","QT_PROF_BIBLIOTECARIO_1","QT_PROF_COORDENADOR_1","QT_PROF_NUTRICIONISTA_1","QT_PROF_ALIMENTACAO_1","QT_PROF_PEDAGOGIA_1","QT_PROF_SECRETARIO_1","QT_PROF_SEGURANCA_1","QT_PROF_MONITORES_1","QT_MAT_BAS_1","QT_MAT_EJA_1","QT_MAT_BAS_0_3_1","QT_MAT_BAS_4_5_1","QT_MAT_BAS_6_10_1","QT_MAT_BAS_11_14_1","QT_MAT_BAS_15_17_1","QT_MAT_BAS_18_MAIS_1","QT_DOC_BAS_1","QT_TUR_BAS_1","nEscolas","Homicidios","Furto"
"Adamantina",0.8,0.8,0.266666666666667,0.0666666666666667,0.0666666666666667,0.733333333333333,0.0666666666666667,0.666666666666667,0.133333333333333,0.866666666666667,0.133333333333333,0.733333333333333,0.666666666666667,0,0,0.2,317.333333333333,15.412841573631,0.266666666666667,0.266666666666667,4.73333333333333,0.2,0.2,0.4,3.26666666666667,0.333333333333333,5.6,108,27,45,21,11,4,83,11,10,73,3,8,9,23,6,3,2,14,2412,27,634,474,1213,64,0,27,243,142,15,2,151
"Adolfo",1,0.666666666666667,0,0,0,1,0,1,0,1,0,0.666666666666667,0.666666666666667,0.333333333333333,0,0.666666666666667,322,18.0087301587301,0.666666666666667,0.333333333333333,4.33333333333333,0.666666666666667,0.666666666666667,0.666666666666667,2,0,5.66666666666667,27,4,3,14,0,1,31,0,0,10,2,1,3,16,0,3,2,4,616,0,3,123,258,210,22,0,37,34,3,0,41
"Aguaí",0.823529411764706,0.882352941176471,0.588235294117647,0.0588235294117647,0.0588235294117647,0.882352941176471,0.411764705882353,0.823529411764706,0.0588235294117647,0.529411764705882,0.176470588235294,0.941176470588235,0.176470588235294,0,0.176470588235294,0.588235294117647,319,18.2987884105918,0.411764705882353,0.176470588235294,4.76470588235294,0.882352941176471,0.176470588235294,0.352941176470588,2.76470588235294,0.117647058823529,5.82352941176471,142,30,28,57,7,6,327,7,10,33,1,11,0,2,6,10,1,11,4064,221,525,745,1835,700,120,139,388,207,17,3,255
"Águas da Prata",0.5,0.833333333333333,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0,0.666666666666667,3,3,3.66666666666667,3,0,0.5,317.333333333333,16.6011904761905,0,0,6.5,0.166666666666667,0,0.333333333333333,3,0.166666666666667,3.83333333333333,40,6,6,6,20,2,1,0,2,16,0,0,0,12,0,0,0,0,643,0,123,164,328,28,0,0,196,37,6,0,38
"Águas de Lindóia",0.266666666666667,0.466666666666667,0.2,0.0666666666666667,0.0666666666666667,0.4,0,0.533333333333333,0.0666666666666667,0.666666666666667,0,0.466666666666667,0.266666666666667,0.266666666666667,0.133333333333333,0.2,316.6,15.7348717948718,0.466666666666667,0.266666666666667,4.8,0.333333333333333,0.2,0.333333333333333,2.66666666666667,0.0666666666666667,4.13333333333333,165,25,26,34,0,2,58,5,4,85,3,8,7,12,12,7,0,4,2426,64,433,393,822,633,102,43,233,132,15,0,151
"Águas de Santa Bárbara",0.333333333333333,1,0,0.333333333333333,0.333333333333333,1,0,0.666666666666667,0,1,0,1,0.666666666666667,0,0.333333333333333,0.333333333333333,336.666666666667,15.6838624338625,0,0,6,0.333333333333333,0,0,2,0.333333333333333,4.66666666666667,36,8,14,9,0,4,24,0,7,9,1,2,0,8,4,0,1,8,789,11,178,151,440,9,0,11,22,47,3,0,44
"Águas de São Pedro",1,1,0.5,0,0,0.5,0,1,0,0.5,0,1,1,0.5,0,0.5,314,17.0978260869565,1,1,6,1,0.5,0,2.5,0,7.5,39,7,18,17,0,2,36,100,5,14,0,1,2,7,6,0,1,7,649,0,84,72,277,210,6,0,78,35,2,0,31
"Agudos",0.888888888888889,1,0.777777777777778,0.0555555555555556,0.0555555555555556,1,0.444444444444444,1,0.222222222222222,0.722222222222222,0,1,1,0,0.222222222222222,0.333333333333333,322.055555555556,19.2392915158266,0.555555555555556,0.666666666666667,5.5,0.277777777777778,0.166666666666667,0.777777777777778,3.38888888888889,0.722222222222222,5.83333333333333,156,34,53,42,14,23,87,0,21,58,13,15,0,47,18,22,2,3,4151,9,992,901,2176,73,1,8,277,210,18,3,372
"Alambari",0.666666666666667,1,0,0,0,0.666666666666667,0,0.5,0,0.833333333333333,0,1,0.666666666666667,0,0.166666666666667,0,317,15.2630952380952,0.166666666666667,0,5.66666666666667,0.5,0.333333333333333,0.166666666666667,2.83333333333333,0,5.66666666666667,34,18,17,18,0,1,22,0,7,7,0,4,6,11,2,6,0,0,684,0,114,141,417,12,0,0,191,44,6,0,46
"Alfredo Marcondes",1,0.5,0,0,0,0.5,0,1,0,1,0,0,1,0,0,0,317,21.25,0,0.5,4.5,0,0,0.5,3,1,3.5,10,2,11,8,0,0,0,0,0,6,0,0,2,2,1,0,1,0,212,0,121,91,0,0,0,0,27,10,2,0,12
