NO_MUNICIPIO,IN_SALA_DIRETORIA_1,IN_INTERNET_1,IN_REDES_SOCIAIS_1,IN_EJA_1,IN_SECRETARIA_1,IN_EQUIP_LOUSA_DIGITAL_1,IN_SALA_PROFESSOR_1,IN_AREA_VERDE_1,IN_REFEITORIO_1,IN_ORGAO_ASS_PAIS_1,IN_BIBLIOTECA_1,IN_QUADRA_ESPORTES_1,ANO_LETIVO_1,Alunos_Turma_1,COMUNIDADE_1,ACESSIBILIDADE_1,Material_Ped_1,Equipamento_Inform_1,Lab_Inform_1,Atividades_complementares_1,Espacos_1,IN_BANHEIRO_CHUVEIRO_1,Equip_1,QT_SALAS_UTILIZADAS_1,QT_EQUIP_LOUSA_DIGITAL_1,QT_PROF_ADMINISTRATIVOS_1,QT_PROF_SERVICOS_GERAIS_1,QT_PROF_BIBLIOTECARIO_1,QT_PROF_COORDENADOR_1,QT_PROF_NUTRICIONISTA_1,QT_PROF_ALIMENTACAO_1,QT_PROF_MONITORES_1,QT_MAT_BAS_1,QT_MAT_EJA_1,QT_MAT_BAS_0_3_1,QT_MAT_BAS_4_5_1,QT_MAT_BAS_6_10_1,QT_MAT_BAS_11_14_1,QT_MAT_BAS_15_17_1,QT_DOC_BAS_1,nEscolas,QT_EQ_MULTIMIDIA,QT_EQUIP_INFORMATICA,QT_PROF_SUPORTE,densidade_demografica,populacao_estimada,salario_medio_mensal_trabalhadores_formais,perc_pop_rend_per_capta_meio_sm,tx_escolarizacao_16_14,IDEB_anos_iniciais_ef,IDEB_anos_finais_ef,idhm,pib_per_capta,esgotamento_sanitario_adequado,sus_hab,perc_populacao_exposta_risco,escolas_hab,homicidios_hab,furtos_hab,NU_TAXA_REPROVACAO_1,NU_TAXA_ABANDONO_1
Adamantina,0.8,0.8,0.266666666666667,0.0666666666666667,0.733333333333333,0.11626596370403613,0.666666666666667,0.133333333333333,0.866666666666667,0.014814814814814777,0.0,0.2,0.5491143317230245,0.3388894807657111,0.266666666666667,0.266666666666667,0.5916666666666662,0.2,0.2,0.4,0.6148148148148155,0.33333333333333304,0.5535353535353538,0.1830238726790451,0.01996749109464454,0.08695652173913042,0.27037037037037037,0.08,0.07777777777777777,0.3,0.19166666666666668,0.13010101010101008,0.16767752972720004,0.036490969406561005,0.2841015609080165,0.1208725748728574,0.2063587803514282,0.022833241065387217,0.0,0.3128205128205128,0.009240924092409241,0.23138514003773036,0.07315175097276265,0.10476190476190475,0.006256951503439648,0.0027438780885873032,0.28125,0.13010204081632656,0.836734693877551,0.5588235294117645,0.5185185185185186,0.6771300448430495,0.055767899073204556,0.9412587412587412,0.12269405945394768,0.0,0.11109638144695871,0.06960999061246552,0.060117198682130266,0.1537753222836094,0.03349662046835517
Aguaí,0.823529411764706,0.882352941176471,0.588235294117647,0.0588235294117647,0.882352941176471,0.061919793340645346,0.823529411764706,0.0588235294117647,0.529411764705882,0.019607843137254884,0.17647058823529396,0.588235294117647,0.5652173913043478,0.48847340613271534,0.411764705882353,0.17647058823529396,0.5955882352941175,0.882352941176471,0.17647058823529396,0.3529411764705879,0.5032679738562088,0.11764705882352902,0.5828877005347601,0.24418786082072086,0.03832916145181477,0.07672634271099743,0.10784313725490197,0.023529411764705885,0.09436274509803921,0.0,0.014705882352941175,0.09019607843137255,0.27914459762709043,0.0484085413160193,0.20754730550980632,0.1826061183561765,0.27544859265666366,0.22035756542882887,0.01573658080215371,0.4826546003016593,0.010561056105610561,0.2585565571461496,0.07715260756749964,0.14285714285714285,0.005105614979662115,0.0028913541741460223,0.3124999999999999,0.2755102040816327,0.7142857142857141,0.3823529411764705,0.5185185185185186,0.3408071748878922,0.045860543294011555,0.8615384615384616,0.19034287981512277,0.0,0.122024695958493,0.09925367080392634,0.10690169453796748,0.3752456524157365,0.08948851334973394
Águas da Prata,0.5,0.833333333333333,0.0,0.0,0.33333333333333304,0.11626596370403613,0.666666666666667,0.0,0.666666666666667,0.04335435301684356,0.0,0.5,0.5491143317230245,0.4004837871035295,0.0,0.0,0.8125,0.166666666666667,0.0,0.33333333333333304,0.5555555555555556,0.166666666666667,0.3215488215488215,0.1547303271441203,0.01996749109464454,0.04347826086956521,0.14814814814814814,0.0,0.0,0.0,0.25,0.0,0.09128549955417682,0.0,0.13773077393324368,0.09932426068939532,0.13950057698942384,0.02497385741526727,0.0,0.31964951185946505,0.0033003300330033004,0.10060223479901316,0.0019455252918287936,0.0,0.003935129407672066,0.0005744145126794743,0.3124999999999999,0.16836734693877559,0.9183673469387754,0.4999999999999997,0.7777777777777779,0.6367713004484301,0.028166620308675963,0.7832167832167832,0.3017851744134985,0.0,0.21031437721348464,0.0,0.06558506861302968,0.18232044198895028,0.0
Águas de Lindóia,0.8342031562587171,0.4666666666666671,0.2,0.0666666666666667,0.7827908756951009,0.0,0.7586858769636021,0.0666666666666667,0.666666666666667,0.0,0.133333333333333,0.2,0.5420289855072465,0.3555808986265932,0.4666666666666671,0.266666666666667,0.6,0.33333333333333304,0.2,0.33333333333333304,0.4814814814814821,0.0666666666666667,0.36094276094276095,0.3846153846153846,0.0,0.03478260869565217,0.3148148148148149,0.08,0.07777777777777777,0.23333333333333334,0.1,0.03717171717171717,0.16900691247725885,0.08649711266740386,0.19399274564942745,0.09360048973441323,0.13984082229915415,0.22583502491234547,0.01573658080215371,0.29572649572649573,0.009240924092409241,0.20355898998693944,0.0490272373540856,0.18095238095238095,0.022614228061972705,0.00143329329104825,0.21874999999999997,0.1275510204081633,0.7414965986394556,0.4705882352941175,0.5185185185185186,0.47533632286995514,0.046186139162853454,0.9006993006993008,0.29609257354486224,0.5939105973438817,0.23254195096945657,0.0,0.1265266479617729,0.2199276052581442,0.15297942617412447
Águas de São Pedro,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5169082125603864,0.49993663974121527,0.2319471741846578,1.0,0.75,0.4907680964073926,0.3582586752072802,0.0,0.4444444444444444,0.0,0.5332676249587022,0.25482604421144456,0.0,0.3260869565217391,0.3888888888888889,0.0,0.07291666666666666,0.5,0.4375,0.025221342574445915,0.2426729382171874,0.06197226710797976,0.24884271041236014,0.18550597088806664,0.2608429614805418,0.13064758900584833,0.03133085222336441,0.31964951185946505,0.0006600660066006601,0.304258021173318,0.0847813609270599,0.5,0.010480057670465988,0.00019733397444016772,0.28125,0.1275510204081633,0.8911564625850339,0.7352941176470588,0.9259259259259258,0.4989320109422037,0.07934636712865067,0.8521105635311764,0.17700575747209363,0.0,0.14628423320213874,0.0,0.13829280696638657,0.1546961325966851,0.0
Agudos,0.8888888888888891,1.0,0.7777777777777779,0.0555555555555556,1.0,0.061919793340645346,1.0,0.222222222222222,0.7222222222222221,0.0,0.222222222222222,0.33333333333333304,0.5947396672034396,0.5372214095606069,0.555555555555556,0.666666666666667,0.6875,0.277777777777778,0.166666666666667,0.7777777777777779,0.6419753086419756,0.7222222222222221,0.584175084175084,0.26083112290008836,0.008511675823704982,0.15217391304347824,0.17901234567901236,0.05611242423987123,0.12152777777777778,0.0,0.32638888888888884,0.02323232323232323,0.2671121942345763,0.010136380390711389,0.37047452147097587,0.21408025679663467,0.30848908082214055,0.021703471325172745,0.0006922810661128418,0.2920227920227921,0.011221122112211221,0.3139360518550766,0.05642023346303501,0.3333333333333333,0.0025532064283354844,0.0029398405677022533,0.37499999999999994,0.2627551020408163,0.857142857142857,0.4705882352941175,0.4814814814814814,0.47533632286995514,0.04436656404799919,0.934265734265734,0.07528010318925617,0.0,0.12840396871008003,0.09766643605981588,0.16093796562763815,0.44049700445252604,0.31818413586226957
Alfredo Marcondes,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5458937198067633,0.641440123495108,0.0,0.5,0.5625,0.0,0.0,0.5,0.5555555555555556,0.27258121219904985,0.27777777777777823,0.0663129973474801,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.125,0.0,0.08962377111660326,0.0,0.40671231201858427,0.1910729421736673,0.0,0.0,0.0,0.24358974358974358,0.0006600660066006601,0.39973334784501513,0.0,0.14285714285714285,0.002324215726794146,0.0002467884823436112,0.18749999999999994,0.2015306122448979,0.9047619047619047,0.588235294117647,0.4444444444444445,0.4573991031390134,0.028227242908504317,0.781818181818182,0.12999679374296022,0.0,0.12745138758481964,0.0,0.0342222104947457,0.37016574585635365,0.19201884344916983
Altinópolis,1.0,0.9,0.6,0.1,0.7,0.0,0.9,0.1,0.8,0.1111111111111111,0.3,0.5,0.5169082125603864,0.48991554601180803,0.5,0.3,0.425,0.6,0.4,0.6,0.6888888888888889,0.6,0.46161616161616204,0.36870026525198935,0.0,0.13043478260869562,0.18333333333333332,0.0,0.10208333333333332,0.0,0.175,0.11151515151515151,0.22863922440846904,0.11555473645410984,0.25339283530994017,0.1375388491241288,0.22507227238659486,0.17178446207787415,0.01573658080215371,0.17692307692307693,0.005940594059405941,0.2494721375707444,0.04669260700389105,0.24285714285714285,0.0010428252505732746,0.0012165163534682292,0.25,0.21938775510204078,0.9523809523809523,0.4999999999999997,0.5555555555555555,0.40807174887892367,0.057374684374639474,0.8293706293706292,0.308097827102882,0.0,0.17396387330754076,0.1508538314530547,0.122597911587368,0.20135052179251048,0.4642588926059924
Alto Alegre,1.0,1.0,0.0,0.0,0.33333333333333304,0.0,0.666666666666667,0.0,1.0,0.04335435301684356,0.33333333333333304,0.33333333333333304,0.5362318840579711,0.46607574243880506,0.0,0.666666666666667,0.4166666666666663,0.33333333333333304,0.0,0.33333333333333304,0.3333333333333333,0.0,0.4747474747474751,0.2431476569407604,0.0,0.04347826086956521,0.07407407407407407,0.0,0.09722222222222221,0.16666666666666666,0.0,0.0,0.11811054433214954,0.0,0.08505522272486449,0.1397273497833867,0.1905373734489692,0.017838469582333764,0.0,0.0598290598290598,0.0013201320132013201,0.17016760992599037,0.04669260700389105,0.0,0.0007284617090844679,0.0002368653102846821,0.34374999999999994,0.17857142857142866,0.6666666666666664,0.500748602608464,0.2962962962962962,0.4989320109422037,0.048661856350883236,0.8521105635311764,0.17700575747209363,0.0,0.21344098494017952,0.0,0.049010335379466544,0.044198895027624314,0.12289205980746869
Alumínio,0.363636363636364,0.0,0.0,0.0909090909090909,0.818181818181818,0.0,0.545454545454545,0.0,0.6363636363636359,0.04335435301684356,0.0,0.545454545454545,0.5485287659200678,0.5383729494934697,0.0,0.0909090909090909,0.125,0.9090909090909092,0.818181818181818,0.454545454545455,0.49494949494949547,0.272727272727273,0.5821854912764008,0.2978056426332288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31829486883776104,0.1271654994471065,0.2138403227778457,0.178446976831795,0.24149684142903036,0.1054003048477754,0.01573658080215371,0.35431235431235425,0.006600660066006601,0.2688239601060671,0.11779271312345242,0.0,0.015762060309927346,0.0014328899100702448,0.3079068241469816,0.36224489795918363,0.9183673469387754,0.5294117647058822,0.5185185185185186,0.5695067264573986,0.04665146337759716,0.7930069930069928,0.11154659223726542,0.5471132423874099,0.16251308930936006,0.06472517589800562,0.11704523960518191,0.06077348066298342,0.0
