"Municipio","Homicidios","Furto"
"Adamantina",2,151
"Adolfo",0,41
"Aguaí",3,255
"Águas da Prata",0,38
"Águas de Lindóia",0,151
"Águas de Santa Bárbara",0,44
"Águas de São Pedro",0,31
"Agudos",3,372
"Alambari",0,46
"Alfredo Marcondes",0,12
"Altair",0,17
"Altinópolis",2,126
"Alto Alegre",0,15
"Alumínio",1,141
"Álvares Florence",0,51
"Álvares Machado",0,155
"Álvaro de Carvalho",1,29
"Alvinlândia",0,8
"Americana",8,2497
"Américo Brasiliense",2,274
"Américo de Campos",0,77
"Amparo",4,466
"Analândia",1,57
"Andradina",5,713
"Angatuba",1,194
"Anhembi",0,33
"Anhumas",0,19
"Aparecida",5,568
"Aparecida d'Oeste",0,24
"Apiaí",1,213
"Araçariguama",2,203
"Araçatuba",23,2245
"Araçoiaba da Serra",1,287
"Aramina",1,43
"Arandu",0,21
"Arapeí",0,9
"Araraquara",15,2465
"Araras",7,1198
"Arco-Íris",0,3
"Arealva",2,109
"Areias",0,19
"Areiópolis",2,38
"Ariranha",0,40
"Artur Nogueira",1,342
"Arujá",3,644
"Aspásia",0,2
"Assis",6,755
"Atibaia",2,1355
"Auriflama",1,114
"Avaí",0,41
"Avanhandava",0,61
"Avaré",2,833
"Bady Bassitt",0,185
"Balbinos",1,14
"Bálsamo",0,54
"Bananal",0,54
"Barão de Antonina",0,9
"Barbosa",0,50
"Bariri",4,330
"Barra Bonita",1,268
"Barra do Chapéu",0,17
"Barra do Turvo",3,117
"Barretos",6,1779
"Barrinha",0,188
"Barueri",12,2256
"Bastos",0,131
"Batatais",6,426
"Bauru",16,4665
"Bebedouro",5,670
"Bento de Abreu",0,11
"Bernardino de Campos",0,112
"Bertioga",7,880
"Bilac",0,38
"Birigui",5,1430
"Biritiba Mirim",0,355
"Boa Esperança do Sul",1,129
"Bocaina",0,57
"Bofete",1,67
"Boituva",2,520
"Bom Jesus dos Perdões",0,193
"Bom Sucesso de Itararé",0,9
"Borá",0,5
"Boracéia",0,33
"Borborema",1,112
"Borebi",0,14
"Botucatu",7,1040
"Bragança Paulista",6,1468
"Braúna",0,21
"Brejo Alegre",1,36
"Brodowski",0,251
"Brotas",1,205
"Buri",2,160
"Buritama",0,207
"Buritizal",0,30
"Cabrália Paulista",0,40
"Cabreúva",4,236
"Caçapava",12,842
"Cachoeira Paulista",6,261
"Caconde",0,101
"Cafelândia",2,113
"Caiabu",0,13
"Caieiras",2,377
"Caiuá",2,27
"Cajamar",14,395
"Cajati",3,358
"Cajobi",0,80
"Cajuru",2,259
"Campina do Monte Alegre",0,59
"Campinas",136,15473
"Campo Limpo Paulista",3,563
"Campos do Jordão",2,381
"Campos Novos Paulista",0,41
"Cananéia",2,127
"Canas",2,43
"Cândido Mota",2,375
"Cândido Rodrigues",0,35
"Canitar",1,51
"Capão Bonito",4,427
"Capela do Alto",1,181
"Capivari",0,280
"Caraguatatuba",25,1696
"Carapicuíba",29,2250
"Cardoso",1,148
"Casa Branca",2,257
"Cássia dos Coqueiros",0,16
"Castilho",0,196
"Catanduva",3,986
"Catiguá",0,47
"Cedral",0,102
"Cerqueira César",2,102
"Cerquilho",1,251
"Cesário Lange",1,118
"Charqueada",0,110
"Chavantes",1,196
"Clementina",0,49
"Colina",2,229
"Colômbia",0,50
"Conchal",2,244
"Conchas",0,98
"Cordeirópolis",1,220
"Coroados",2,57
"Coronel Macedo",0,13
"Corumbataí",3,34
"Cosmópolis",7,584
"Cosmorama",2,105
"Cotia",14,1793
"Cravinhos",1,234
"Cristais Paulista",0,118
"Cruzália",0,10
"Cruzeiro",26,731
"Cubatão",3,1204
"Cunha",3,127
"Descalvado",2,254
"Diadema",23,3688
"Dirce Reis",0,4
"Divinolândia",0,49
"Dobrada",1,14
"Dois Córregos",5,274
"Dolcinópolis",0,11
"Dourado",1,50
"Dracena",2,459
"Duartina",1,92
"Dumont",1,43
"Echaporã",0,19
"Eldorado",0,71
"Elias Fausto",0,93
"Elisiário",0,10
"Embaúba",0,8
"Embu das Artes",21,1100
"Embu-Guaçu",5,385
"Emilianópolis",0,11
"Engenheiro Coelho",0,127
"Espírito Santo do Pinhal",0,377
"Espírito Santo do Turvo",1,48
"Estiva Gerbi",0,91
"Estrela d'Oeste",0,55
"Estrela do Norte",1,22
"Euclides da Cunha Paulista",0,55
"Fartura",3,189
"Fernando Prestes",0,56
"Fernandópolis",2,538
"Fernão",0,20
"Ferraz de Vasconcelos",15,1260
"Flora Rica",0,11
"Floreal",0,23
"Flórida Paulista",0,28
"Florínea",2,35
"Franca",16,4624
"Francisco Morato",15,1050
"Franco da Rocha",12,684
"Gabriel Monteiro",0,12
"Gália",0,93
"Garça",2,631
"Gastão Vidigal",1,21
"Gavião Peixoto",1,21
"General Salgado",0,82
"Getulina",1,96
"Glicério",1,48
"Guaiçara",0,165
"Guaimbê",1,46
"Guaíra",1,453
"Guapiaçu",2,127
"Guapiara",2,95
"Guará",2,385
"Guaraçaí",0,35
"Guaraci",0,100
"Guarani d'Oeste",0,8
"Guarantã",0,62
"Guararapes",7,212
"Guararema",3,264
"Guaratinguetá",18,963
"Guareí",0,58
"Guariba",3,262
"Guarujá",10,3131
"Guarulhos",67,11486
"Guatapará",1,62
"Guzolândia",0,49
"Herculândia",1,45
"Holambra",0,88
"Hortolândia",13,1542
"Iacanga",0,84
"Iacri",0,26
"Iaras",1,26
"Ibaté",4,277
"Ibirá",1,121
"Ibirarema",0,36
"Ibitinga",3,708
"Ibiúna",6,521
"Icém",0,19
"Iepê",0,82
"Igaraçu do Tietê",0,181
"Igarapava",5,230
"Igaratá",1,89
"Iguape",1,499
"Ilha Comprida",1,653
"Ilha Solteira",0,236
"Ilhabela",2,530
"Indaiatuba",9,2072
"Indiana",0,32
"Indiaporã",1,17
"Inúbia Paulista",0,5
"Ipaussu",0,93
"Iperó",4,198
"Ipeúna",2,81
"Ipiguá",0,62
"Iporanga",0,42
"Ipuã",3,113
"Iracemápolis",0,150
"Irapuã",0,59
"Irapuru",0,41
"Itaberá",0,72
"Itaí",4,167
"Itajobi",1,99
"Itaju",0,16
"Itanhaém",14,2610
"Itaoca",1,14
"Itapecerica da Serra",15,1018
"Itapetininga",10,1554
"Itapeva",2,590
"Itapevi",28,1333
"Itapira",3,546
"Itapirapuã Paulista",0,9
"Itápolis",3,364
"Itaporanga",2,49
"Itapuí",1,153
"Itapura",0,44
"Itaquaquecetuba",19,2541
"Itararé",2,298
"Itariri",3,156
"Itatiba",4,828
"Itatinga",0,88
"Itirapina",0,144
"Itirapuã",0,79
"Itobi",0,54
"Itu",8,1351
"Itupeva",4,439
"Ituverava",4,342
"Jaborandi",0,28
"Jaboticabal",9,1160
"Jacareí",34,1853
"Jaci",1,11
"Jacupiranga",1,135
"Jaguariúna",3,818
"Jales",1,400
"Jambeiro",1,70
"Jandira",11,808
"Jardinópolis",4,386
"Jarinu",7,255
"Jaú",4,1084
"Jeriquara",1,48
"Joanópolis",2,113
"João Ramalho",1,22
"José Bonifácio",0,314
"Júlio Mesquita",0,21
"Jumirim",0,10
"Jundiaí",28,4557
"Junqueirópolis",1,92
"Juquiá",5,208
"Juquitiba",1,307
"Lagoinha",0,51
"Laranjal Paulista",3,214
"Lavínia",0,45
"Lavrinhas",1,46
"Leme",11,891
"Lençóis Paulista",4,485
"Limeira",14,2864
"Lindóia",0,36
"Lins",6,1528
"Lorena",16,701
"Lourdes",0,13
"Louveira",3,293
"Lucélia",0,103
"Lucianópolis",0,10
"Luís Antônio",0,88
"Luiziânia",1,11
"Lupércio",0,24
"Lutécia",0,13
"Macatuba",0,95
"Macaubal",0,81
"Macedônia",0,13
"Magda",0,7
"Mairinque",8,294
"Mairiporã",7,530
"Manduri",3,26
"Marabá Paulista",0,42
"Maracaí",0,64
"Marapoama",0,17
"Mariápolis",0,14
"Marília",11,2087
"Marinópolis",0,8
"Martinópolis",0,147
"Matão",3,515
"Mauá",35,2373
"Mendonça",0,64
"Meridiano",0,17
"Mesópolis",1,7
"Miguelópolis",5,230
"Mineiros do Tietê",2,86
"Mira Estrela",0,32
"Miracatu",3,274
"Mirandópolis",3,198
"Mirante do Paranapanema",0,223
"Mirassol",7,456
"Mirassolândia",1,36
"Mococa",1,586
"Mogi das Cruzes",21,3186
"Mogi Guaçu",9,1649
"Mogi Mirim",12,864
"Mombuca",0,47
"Monções",0,16
"Mongaguá",3,1732
"Monte Alegre do Sul",0,45
"Monte Alto",1,654
"Monte Aprazível",1,178
"Monte Azul Paulista",1,133
"Monte Castelo",0,24
"Monte Mor",6,378
"Monteiro Lobato",0,21
"Morro Agudo",4,279
"Morungaba",0,91
"Motuca",0,13
"Murutinga do Sul",0,25
"Nantes",0,10
"Narandiba",1,51
"Natividade da Serra",2,55
"Nazaré Paulista",4,136
"Neves Paulista",0,64
"Nhandeara",0,78
"Nipoã",0,37
"Nova Aliança",0,49
"Nova Campina",1,63
"Nova Canaã Paulista",0,10
"Nova Castilho",0,10
"Nova Europa",0,54
"Nova Granada",1,144
"Nova Guataporanga",1,13
"Nova Independência",0,48
"Nova Luzitânia",0,8
"Nova Odessa",3,523
"Novais",0,17
"Novo Horizonte",1,362
"Nuporanga",0,112
"Ocauçu",0,30
"Óleo",2,17
"Olímpia",0,485
"Onda Verde",0,35
"Oriente",0,35
"Orindiúva",0,26
"Orlândia",0,187
"Osasco",45,6641
"Oscar Bressane",0,9
"Osvaldo Cruz",3,176
"Ourinhos",5,1418
"Ouro Verde",1,31
"Ouroeste",0,47
"Pacaembu",0,53
"Palestina",1,52
"Palmares Paulista",0,21
"Palmeira d'Oeste",0,27
"Palmital",4,202
"Panorama",0,224
"Paraguaçu Paulista",0,414
"Paraibuna",0,162
"Paraíso",0,17
"Paranapanema",0,82
"Paranapuã",2,20
"Parapuã",0,86
"Pardinho",1,61
"Pariquera-Açu",0,197
"Parisi",0,32
"Patrocínio Paulista",2,207
"Paulicéia",0,35
"Paulínia",3,947
"Paulistânia",0,10
"Paulo de Faria",0,42
"Pederneiras",0,468
"Pedra Bela",0,28
"Pedranópolis",0,18
"Pedregulho",1,219
"Pedreira",3,223
"Pedrinhas Paulista",0,25
"Pedro de Toledo",0,96
"Penápolis",1,566
"Pereira Barreto",1,182
"Pereiras",0,28
"Peruíbe",14,1523
"Piacatu",0,34
"Piedade",5,471
"Pilar do Sul",3,146
"Pindamonhangaba",15,1386
"Pindorama",1,85
"Pinhalzinho",1,94
"Piquerobi",0,18
"Piquete",1,87
"Piracaia",2,162
"Piracicaba",27,3417
"Piraju",1,220
"Pirajuí",2,162
"Pirangi",2,90
"Pirapora do Bom Jesus",2,142
"Pirapozinho",2,135
"Pirassununga",5,606
"Piratininga",0,127
"Pitangueiras",1,358
"Planalto",0,38
"Platina",0,9
"Poá",2,1110
"Poloni",1,31
"Pompéia",2,83
"Pongaí",0,20
"Pontal",2,224
"Pontalinda",0,35
"Pontes Gestal",0,26
"Populina",1,11
"Porangaba",1,55
"Porto Feliz",3,297
"Porto Ferreira",4,535
"Potim",4,80
"Potirendaba",0,124
"Pracinha",0,8
"Pradópolis",1,96
"Praia Grande",25,5025
"Pratânia",0,17
"Presidente Alves",0,13
"Presidente Bernardes",0,53
"Presidente Epitácio",1,426
"Presidente Prudente",8,2211
"Presidente Venceslau",2,151
"Promissão",0,497
"Quadra",0,39
"Quatá",1,63
"Queiroz",0,25
"Queluz",4,104
"Quintana",0,24
"Rafard",1,70
"Rancharia",2,291
"Redenção da Serra",1,48
"Regente Feijó",2,131
"Reginópolis",0,23
"Registro",5,649
"Restinga",0,76
"Ribeira",1,14
"Ribeirão Bonito",2,85
"Ribeirão Branco",1,74
"Ribeirão Corrente",0,47
"Ribeirão do Sul",1,37
"Ribeirão dos Índios",0,6
"Ribeirão Grande",0,53
"Ribeirão Pires",4,557
"Ribeirão Preto",40,8823
"Rifaina",0,39
"Rincão",0,87
"Rinópolis",1,40
"Rio Claro",13,1871
"Rio das Pedras",0,309
"Rio Grande da Serra",5,285
"Riolândia",0,106
"Riversul",0,65
"Rosana",1,181
"Roseira",2,76
"Rubiácea",0,16
"Rubinéia",1,31
"Sabino",0,76
"Sagres",0,6
"Sales",0,65
"Sales Oliveira",0,79
"Salesópolis",0,120
"Salmourão",1,14
"Saltinho",0,64
"Salto",5,616
"Salto de Pirapora",3,285
"Salto Grande",0,103
"Sandovalina",0,39
"Santa Adélia",0,40
"Santa Albertina",1,43
"Santa Bárbara d'Oeste",7,1410
"Santa Branca",1,112
"Santa Clara d'Oeste",0,11
"Santa Cruz da Conceição",0,44
"Santa Cruz da Esperança",0,31
"Santa Cruz das Palmeiras",3,239
"Santa Cruz do Rio Pardo",0,383
"Santa Ernestina",1,32
"Santa Fé do Sul",2,343
"Santa Gertrudes",1,138
"Santa Isabel",4,349
"Santa Lúcia",0,31
"Santa Maria da Serra",0,43
"Santa Mercedes",0,18
"Santa Rita d'Oeste",0,4
"Santa Rita do Passa Quatro",3,292
"Santa Rosa de Viterbo",0,141
"Santa Salete",0,10
"Santana da Ponte Pensa",0,5
"Santana de Parnaíba",3,568
"Santo Anastácio",1,66
"Santo André",51,6287
"Santo Antônio da Alegria",0,122
"Santo Antônio de Posse",4,161
"Santo Antônio do Aracanguá",0,72
"Santo Antônio do Jardim",0,29
"Santo Antônio do Pinhal",0,58
"Santo Expedito",0,22
"Santópolis do Aguapeí",0,34
"Santos",20,5648
"São Bento do Sapucaí",1,62
"São Bernardo do Campo",35,6591
"São Caetano do Sul",5,1551
"São Carlos",18,3229
"São Francisco",0,14
"São João da Boa Vista",1,686
"São João das Duas Pontes",0,9
"São João de Iracema",0,13
"São João do Pau d'Alho",0,2
"São Joaquim da Barra",2,403
"São José da Bela Vista",0,87
"São José do Barreiro",0,18
"São José do Rio Pardo",0,558
"São José do Rio Preto",24,6368
"São José dos Campos",35,5126
"São Lourenço da Serra",2,109
"São Luiz do Paraitinga",0,89
"São Manuel",4,235
"São Miguel Arcanjo",2,313
"São Paulo",650,226566
"São Pedro",4,245
"São Pedro do Turvo",1,39
"São Roque",4,656
"São Sebastião",12,961
"São Sebastião da Grama",0,58
"São Simão",2,139
"São Vicente",17,3446
"Sarapuí",3,87
"Sarutaiá",1,32
"Sebastianópolis do Sul",0,21
"Serra Azul",0,76
"Serra Negra",1,249
"Serrana",2,380
"Sertãozinho",5,945
"Sete Barras",1,156
"Severínia",0,35
"Silveiras",0,32
"Socorro",1,232
"Sorocaba",47,6888
