"","NO_MUNICIPIO_ESCOLA","NU_TAXA_APROVACAO_1","NU_TAXA_REPROVACAO_1","NU_TAXA_ABANDONO_1"
"1","Adamantina",0.967805555555556,0.0278333333333333,0.00436111111111111
"2","Aguaí",0.920429530201342,0.0679194630872483,0.0116510067114094
"3","Águas da Prata",0.967,0.033,0
"4","Águas de Lindóia",0.940275862068966,0.0398068965517241,0.0199172413793103
"5","Águas de São Pedro",0.972,0.028,0
"6","Agudos",0.87884388185654,0.0797299578059072,0.0414261603375527
"7","Alfredo Marcondes",0.908,0.067,0.025
"8","Altinópolis",0.903111111111111,0.0364444444444444,0.0604444444444444
"9","Alto Alegre",0.976,0.008,0.016
"10","Alumínio",0.989,0.011,0
"11","Álvares Florence",0.968,0.016,0.016
"12","Álvares Machado",0.827635897435897,0.143964102564103,0.0284
"13","Americana",0.942174573055028,0.0442643896268185,0.0135610373181531
"14","Américo Brasiliense",0.87391061452514,0.107078212290503,0.0190111731843575
"15","Américo de Campos",0.972568181818182,0.0274318181818182,0
"16","Amparo",0.954333333333333,0.0367090909090909,0.00895757575757576
"17","Andradina",0.949661137440758,0.0335568720379147,0.016781990521327
"18","Angatuba",0.857792553191489,0.121531914893617,0.0206755319148936
"19","Anhumas",0.968,0.008,0.024
"20","Aparecida",0.909142857142857,0.0624642857142857,0.0283928571428571
"21","Aparecida d'Oeste",0.913,0.035,0.052
"22","Apiaí",0.978879032258064,0.0211209677419355,0
"23","Araçatuba",0.938903556771546,0.0526600547195622,0.00843638850889193
"24","Araçoiaba da Serra",1,0,0
"25","Aramina",0.976,0,0.024
"26","Araraquara",0.96608445945946,0.0331190878378378,0.000796452702702703
"27","Araras",0.945685540950455,0.036061678463094,0.018252780586451
"28","Arco-Íris",0.98,0,0.02
"29","Arealva",0.947,0.019,0.034
"30","Artur Nogueira",0.896360795454546,0.0770852272727273,0.0265539772727273
"31","Arujá",0.940961693548387,0.0489637096774194,0.0100745967741935
"32","Aspásia",1,0,0
"33","Assis",0.908447890818858,0.0822233250620348,0.0093287841191067
"34","Atibaia",0.93903247373448,0.0512425978987584,0.00972492836676218
"35","Auriflama",0.993227722772277,0.00677227722772277,0
"36","Avanhandava",0.862789473684211,0.0582631578947368,0.0789473684210526
"37","Avaré",0.890357786357786,0.0615148005148005,0.0481274131274131
"38","Bady Bassitt",0.846977011494253,0.125942528735632,0.0270804597701149
"39","Barão de Antonina",0.864,0.032,0.104
"40","Barbosa",0.809,0.172,0.019
"41","Bariri",0.950741176470588,0.0485294117647059,0.000729411764705882
"42","Barra Bonita",0.968142857142857,0.0253296703296703,0.00652747252747253
"43","Barra do Turvo",0.849,0.043,0.108
"44","Barretos",0.964627577319588,0.0305734536082474,0.00479896907216495
"45","Barrinha",0.944,0.053,0.003
"46","Barueri",0.927337791495199,0.065042524005487,0.00761968449931413
"47","Bastos",0.962568181818182,0.0374318181818182,0
"48","Batatais",0.952825242718446,0.0275728155339806,0.0196019417475728
"49","Bauru",0.934373056994819,0.0476641544983514,0.01796278850683
"50","Bebedouro",0.976206349206349,0.0202018140589569,0.00359183673469388
"51","Bertioga",0.903555147058824,0.0801948529411765,0.01625
"52","Bilac",0.983,0.011,0.006
"53","Birigui",0.981320661157025,0.0161487603305785,0.00253057851239669
"54","Biritiba Mirim",0.85,0.076,0.074
"55","Boa Esperança do Sul",0.852,0.103,0.045
"56","Boituva",0.952899159663866,0.0471008403361345,0
"57","Bom Jesus dos Perdões",0.847,0.092,0.061
"58","Boracéia",0.969,0.013,0.018
"59","Borborema",0.972,0.028,0
"60","Botucatu",NA,NA,NA
"61","Bragança Paulista",0.931760707002039,0.0528864717878994,0.0153528212100612
"62","Braúna",0.976,0.012,0.012
"63","Brodowski",0.937413612565445,0.0482565445026178,0.0143298429319372
"64","Brotas",0.918076923076923,0.0392307692307692,0.0426923076923077
"65","Buritama",0.976062111801242,0.0132049689440994,0.0107329192546584
"66","Cabrália Paulista",0.984,0.011,0.005
"67","Cabreúva",0.944830357142857,0.0551696428571429,0
"68","Caçapava",0.9371875,0.0410910714285714,0.0217214285714286
"69","Cachoeira Paulista",0.960166666666667,0.0367631578947368,0.00307017543859649
"70","Caconde",0.959734042553192,0.0339095744680851,0.0063563829787234
"71","Cafelândia",0.987,0.013,0
"72","Caiabu",0.779,0.178,0.043
"73","Caieiras",0.988533156498674,0.00780636604774536,0.0036604774535809
"74","Caiuá",0.984,0.016,0
"75","Cajamar",0.963365771812081,0.0353456375838926,0.00128859060402685
"76","Cajati",0.981410256410256,0,0.0185897435897436
"77","Cajobi",0.903,0.016,0.081
"78","Cajuru",0.954220720720721,0.00882882882882883,0.0369504504504505
"79","Campinas",0.903301948558067,0.0856972720187062,0.0110007794232268
"80","Campo Limpo Paulista",0.891876635514019,0.088807476635514,0.0193158878504673
"81","Campos do Jordão",0.811321492007105,0.0992539964476021,0.0894245115452931
"82","Campos Novos Paulista",0.906,0.012,0.082
"83","Cananéia",0.906672727272727,0.0858818181818182,0.00744545454545455
"84","Cândido Mota",0.961308080808081,0.0252828282828283,0.0134090909090909
"85","Capão Bonito",0.971629268292683,0.026809756097561,0.0015609756097561
"86","Capivari",0.919369458128079,0.0478029556650246,0.0328275862068966
"87","Caraguatatuba",0.985979220779221,0.0128415584415584,0.00117922077922078
"88","Carapicuíba",0.897583442838371,0.0704415243101183,0.0319750328515112
"89","Casa Branca",0.955175,0.033975,0.01085
"90","Cássia dos Coqueiros",1,0,0
"91","Castilho",0.965,0.018,0.017
"92","Catanduva",0.960557359307359,0.0360119047619048,0.00343073593073593
"93","Cedral",0.988,0.012,0
"94","Cerqueira César",0.915520161290323,0.0545766129032258,0.0299032258064516
"95","Cerquilho",0.983374193548387,0.0147161290322581,0.00190967741935484
"96","Charqueada",0.885,0.088,0.027
"97","Colina",0.905622549019608,0.047906862745098,0.0464705882352941
"98","Colômbia",0.947,0.022,0.031
"99","Conchal",0.92932,0.0402,0.03048
"100","Conchas",0.9937,0.0063,0
"101","Cordeirópolis",0.942514018691589,0.023785046728972,0.0337009345794392
"102","Coronel Macedo",0.907,0.066,0.027
"103","Corumbataí",0.97,0.03,0
"104","Cosmópolis",0.936756563245823,0.0491718377088306,0.0140715990453461
"105","Cotia",0.870264778325123,0.0928817733990148,0.0368534482758621
"106","Cravinhos",0.947521739130435,0.0288260869565217,0.0236521739130435
"107","Cristais Paulista",0.902,0.098,0
"108","Cruzália",0.988,0.012,0
"109","Cruzeiro",0.954994485294118,0.0363970588235294,0.00860845588235294
"110","Cubatão",0.827793630573248,0.143700636942675,0.0285057324840764
"111","Cunha",0.817,0.181,0.002
"112","Descalvado",0.966838383838384,0.0331616161616162,0
"113","Diadema",0.909528966131907,0.0763266488413547,0.014144385026738
"114","Divinolândia",0.894,0.059,0.047
"115","Dois Córregos",0.928,0.064,0.008
"116","Dolcinópolis",0.913,0.087,0
"117","Dracena",0.963805860805861,0.0330586080586081,0.00313553113553114
"118","Duartina",0.964,0.018,0.018
"119","Embu das Artes",0.858028994447872,0.0870980876002468,0.0548729179518816
"120","Embu-Guaçu",0.883029275808937,0.08757781201849,0.0293929121725732
"121","Emilianópolis",0.979,0.021,0
"122","Engenheiro Coelho",0.901,0.099,0
"123","Espírito Santo do Pinhal",0.917380530973451,0.0612743362831858,0.0213451327433628
"124","Espírito Santo do Turvo",0.84,0.098,0.062
"125","Estiva Gerbi",0.927,0.02,0.053
"126","Estrela d'Oeste",0.972,0.017,0.011
"127","Estrela do Norte",0.941,0.017,0.042
"128","Euclides da Cunha Paulista",0.939209523809524,0.0574095238095238,0.00338095238095238
"129","Fartura",0.963368983957219,0.0242352941176471,0.0123957219251337
"130","Fernando Prestes",0.994,0.006,0
"131","Fernandópolis",0.946840336134454,0.0464756302521008,0.00668403361344538
"132","Fernão",0.902,0.098,0
"133","Ferraz de Vasconcelos",0.976743295019157,0.0101954022988506,0.0130613026819923
"134","Flora Rica",0.967,0.033,0
"135","Floreal",0.961,0.029,0.01
"136","Florínea",0.948,0.042,0.01
"137","Franca",0.914139795581932,0.0534243323442136,0.0324358720738543
"138","Francisco Morato",0.957561538461538,0.0258230769230769,0.0166153846153846
"139","Franco da Rocha",0.983413612565445,0.016586387434555,0
"140","Gabriel Monteiro",0.964,0.012,0.024
"141","Garça",0.974,0.026,0
"142","Gastão Vidigal",0.87,0.13,0
"143","General Salgado",0.894440298507463,0.0789402985074627,0.0266194029850746
"144","Guaíra",0.935863157894737,0.0160157894736842,0.048121052631579
"145","Guapiara",0.975416666666667,0.00666666666666667,0.0179166666666667
"146","Guará",1,0,0
"147","Guaraçaí",0.918,0.066,0.016
"148","Guaraci",0.985,0.015,0
"149","Guarani d'Oeste",0.935,0.016,0.049
"150","Guarantã",0.826,0.143,0.031
"151","Guararapes",0.948985645933014,0.0498516746411483,0.00116267942583732
"152","Guararema",0.898,0.079,0.023
"153","Guaratinguetá",0.945458244111349,0.0533768736616702,0.00116488222698073
"154","Guariba",0.996190476190476,0,0.00380952380952381
"155","Guarujá",0.877931880108992,0.09388919164396,0.0281789282470481
