municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
São Paulo;paulista;11253503;7398.26;12396372;5766720;4.1;0.471;0.316;1378775;382664;69071;0.96;6.3;4.9;3013;1383;0.805;62341.21;0.3;678;1521.202;10.23;0.926;0.3;0.748;0.503;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;674329;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
Santo André;paulista;676407;3848.01;723889;245592;2.7;0.342;0.305;83592;24383;4484;0.974;6.5;5.2;231;96;0.815;42209.54;0.383;60;175.782;8.61;0.959;0.2;0.822;0.437;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;96062;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
São Caetano do Sul;paulista;149263;9736.03;162763;122015;3.2;0.757;0.266;21305;7946;1341;0.974;7.3;6.2;51;26;0.862;85062.97;0.386;38;15.331;7.21;1;0.2;0.954;0.37;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
Santos;paulista;419400;1494.26;433991;207664;3.2;0.479;0.277;45501;14706;2729;0.982;5.8;5.3;156;65;0.84;52509.91;0.403;79;281.033;7.84;0.951;0.1;0.873;0.847;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;6807;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
Bertioga;paulista;47645;97.21;66154;15542;2.8;0.246;0.314;9638;2368;494;0.981;6.5;5;32;15;0.73;28923.67;0.404;9;491.546;15.71;0.771;0.4;0.565;0.101;Mata Atlântica;Pertence;Centro Local (5);0;Arranjo Populacional da Baixada Santista/SP - Capital Regional C (2C);São Paulo;Santos;Metropolitana de São Paulo;Santos
Poá;paulista;106013;6141.05;119221;29429;2.2;0.251;0.359;16805;4811;1030;0.976;6.6;5.4;46;21;0.771;38131.3;0.405;21;17.264;13.17;0.959;0.1;0.73;0.216;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Mogi das Cruzes
Sorocaba;paulista;586625;1304.18;695328;229113;3;0.337;0.317;83454;23523;4324;0.981;6.7;5.5;205;95;0.798;54878.75;0.412;75;449.872;8.48;0.98;0.1;0.822;0.485;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de Sorocaba/SP;12867;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Campinas;paulista;1080113;1359.6;1223237;464714;3.7;0.386;0.302;126984;35272;6750;0.96;6.5;5.2;314;155;0.805;54710.07;0.417;131;794.571;7.99;0.905;0.3;0.875;0.559;Mata Atlântica;Não pertence;Metrópole (1C) - Município integrante do Arranjo Populacional de Campinas/SP;25135;Arranjo Populacional de Campinas/SP - Metrópole (1C);Campinas;Campinas;Campinas;Campinas
Guarujá;paulista;290752;2026.8;324977;54419;3;0.17;0.36;40995;11238;1767;0.959;6.1;5.2;79;29;0.751;28417.36;0.418;38;144.794;14.59;0.824;0.1;0.682;0.635;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
Praia Grande;paulista;262051;1781.87;336454;59864;2.4;0.184;0.338;45249;12686;1971;0.969;6.6;5.4;103;43;0.754;23432.68;0.427;32;149.652;10.52;0.929;0;0.741;0.713;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;17869;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
